span_id,decks,start_piers,end_piers,plan_length_m,sampled_min_clearance_m,deck_top_z_min,deck_top_z_max,flags,real_world_verified
SPAN_MODEL_104,DECK_1272682374,UNVERIFIED_Pier_726|UNVERIFIED_Pier_727,UNVERIFIED_Pier_729|UNVERIFIED_Pier_728,35.96495964575007,5.419994354248047,7.9999847412109375,8.000015258789062,,False
SPAN_MODEL_105,DECK_1272682374,UNVERIFIED_Pier_729|UNVERIFIED_Pier_728,UNVERIFIED_Pier_731|UNVERIFIED_Pier_730,35.96458522047905,5.41999626159668,7.999992370605469,8.000007629394531,,False
SPAN_MODEL_106,DECK_1272682374,UNVERIFIED_Pier_731|UNVERIFIED_Pier_730,UNVERIFIED_Pier_733|UNVERIFIED_Pier_732,35.96448148563556,5.41999626159668,7.999992370605469,8.000015258789062,,False
SPAN_MODEL_107,DECK_1272682374,UNVERIFIED_Pier_733|UNVERIFIED_Pier_732,UNVERIFIED_Pier_734|UNVERIFIED_Pier_735,35.96468006392382,5.41999626159668,7.999992370605469,8.000007629394531,ground_surface_missing_at_some_samples,False
SPAN_MODEL_108,DECK_1272682374,UNVERIFIED_Pier_734|UNVERIFIED_Pier_735,UNVERIFIED_Pier_737|UNVERIFIED_Pier_736,35.96480307156179,5.4199981689453125,7.999992370605469,8.000015258789062,ground_surface_missing_at_some_samples,False
SPAN_MODEL_109,DECK_1272682374,UNVERIFIED_Pier_737|UNVERIFIED_Pier_736,UNVERIFIED_Pier_738|UNVERIFIED_Pier_739,35.96501260740192,5.4199981689453125,7.9999847412109375,8.000015258789062,ground_surface_missing_at_some_samples,False
SPAN_MODEL_110,DECK_48776360|DECK_906806087,UNVERIFIED_Pier_674,UNVERIFIED_Pier_673|UNVERIFIED_Pier_672,35.0955803743328,5.600000381469727,7.999977111816406,8.000015258789062,ambiguous_pier_to_deck_assignment,False
SPAN_MODEL_111,DECK_51362369|DECK_668070774,UNVERIFIED_Pier_307|UNVERIFIED_Pier_306,UNVERIFIED_Pier_310,70.15760930059537,5.420000076293945,7.999992370605469,8.000015258789062,ambiguous_pier_to_deck_assignment|long_gap_check_missing_supports|ground_surface_missing_at_some_samples,False
SPAN_MODEL_112,DECK_51919155|DECK_668070788,UNVERIFIED_Pier_623,UNVERIFIED_Pier_624|UNVERIFIED_Pier_625,36.49613299358816,5.599996566772461,7.9999847412109375,8.000015258789062,ambiguous_pier_to_deck_assignment,False
SPAN_MODEL_113,DECK_160053377|DECK_906806087,UNVERIFIED_Pier_459|UNVERIFIED_Pier_458,UNVERIFIED_Pier_460,35.111048939818986,5.4199981689453125,7.999992370605469,8.000015258789062,ambiguous_pier_to_deck_assignment|ground_surface_missing_at_some_samples,False
SPAN_MODEL_114,DECK_204711194|DECK_668070788,UNVERIFIED_Pier_518|UNVERIFIED_Pier_519,UNVERIFIED_Pier_624|UNVERIFIED_Pier_625,72.83960614279354,5.599998474121094,7.9999847412109375,8.000015258789062,long_gap_check_missing_supports,False
SPAN_MODEL_115,DECK_252494927|DECK_1272677946,UNVERIFIED_Pier_582,UNVERIFIED_Pier_465,48.94049931805725,,7.999992370605469,8.000015258789062,ambiguous_pier_to_deck_assignment|ground_surface_missing_at_some_samples,False
